Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
    DUV    ; Porto - Bitrigrama ;                         Porto - Nome                          ; Embarcacao - IMO ; Embarcacao - Inscricao ;          Embarcacao - Nome          ; Tripulantes - Embarque ; Tripulantes - Transito ; Tripulantes - Desembarque ; Tripulantes - Total ; Passageiros - Embarque ; Passageiros - Transito ; Passageiros - Desembarque ; Passageiros - Total ;                                                                                     Estadia - Motivos Atracacao                                                                                     ; Estadia - Chegada no Porto ;  Estadia - Atracacao   ; Estadia - Desatracacao ; Estadia - Saida do Porto ; Porto Origem - Bitrigrama ;                   Porto Origem - Nome                   ; Porto Destino - Bitrigrama ;                  Porto Destino - Nome                   
     12022 ; BRSSZ              ; SANTOS                                                        ;          9634854 ;                        ; ORION GLOBE                         ;                      0 ;                     21 ;                         0 ;                  21 ;                      0 ;                      0 ;                         0 ;                   0 ; Carga                                                                                                                                                                                               ; 2022-01-13 06:00:00-03     ; 2022-01-20 17:20:00-03 ; 2022-01-23 21:52:00-03 ; 2022-01-23 21:52:00-03   ; SGSIN                     ; SINGAPURA (SINGAPORE)                                   ; SGSIN                      ; SINGAPURA (SINGAPORE)
     22022 ; BRSSZ              ; SANTOS                                                        ;          9699359 ;                        ; COPENHAGEN EAGLE                    ;                      0 ;                     19 ;                         0 ;                  19 ;                      0 ;                      0 ;                         0 ;                   0 ; Descarga                                                                                                                                                                                            ; 2022-01-15 09:05:00-03     ; 2022-02-25 05:05:00-03 ; 2022-02-28 13:45:00-03 ; 2022-02-28 13:45:00-03   ; SGSIN                     ; SINGAPURA (SINGAPORE)                                   ; BRPNG                      ; PARANAGUA
     32022 ; BRSSZ              ; SANTOS                                                        ;          9686273 ;                        ; CEPHEUS OCEAN                       ;                      0 ;                     19 ;                         0 ;                  19 ;                      0 ;                      0 ;                         0 ;                   0 ; Descarga                                                                                                                                                                                            ; 2022-01-19 10:00:00-03     ; 2022-02-28 20:25:00-03 ;                        ;                          ; RU006                     ; UST - LUGA                                              ;                            ; 
     62022 ; BRRJ022            ; PORTO DO AÇU                                                  ;          9644158 ;                        ; ZARAPITO                            ;                      0 ;                     15 ;                         0 ;                  15 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                           ; 2022-01-01 08:00:00-03     ; 2022-01-01 08:00:00-03 ; 2022-01-03 10:27:00-03 ; 2022-01-03 10:27:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRRIO                      ; RIO DE JANEIRO
     72022 ; BRMEA001           ; TERMINAL PETROBRÁS - MACAÉ - RJ                               ;          9618757 ; 3813885801             ;  MAR LIMPO II                       ;                      0 ;                     13 ;                         0 ;                  13 ;                      0 ;                      0 ;                         0 ;                   0 ; Desembarque/Embarque de Passageiros,Off-shore                                                                                                                                                       ; 2022-01-01 17:45:00-03     ; 2022-01-03 06:50:00-03 ; 2022-01-04 03:00:00-03 ; 2022-01-04 17:40:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRMEA001                   ; TERMINAL PETROBRÁS - MACAÉ - RJ
     82022 ; BRRIO              ; RIO DE JANEIRO                                                ;          9528328 ; 381-3882705            ; SKANDI AMAZONAS                     ;                      0 ;                     18 ;                         0 ;                  18 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                           ; 2022-01-29 07:20:00-03     ; 2022-01-29 07:20:00-03 ; 2022-01-29 13:00:00-03 ; 2022-01-29 13:00:00-03   ; BRACX                     ; PORTO DO AÇU                                            ; BRRIO                      ; RIO DE JANEIRO
     92022 ; BRRIO              ; RIO DE JANEIRO                                                ;          9659543 ;                        ; BARU ANTARES                        ;                      0 ;                     11 ;                         0 ;                  11 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                           ; 2022-01-06 08:45:00-03     ; 2022-01-06 08:45:00-03 ; 2022-01-07 18:20:00-03 ; 2022-01-07 18:20:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRRIO                      ; RIO DE JANEIRO
    102022 ; BRRIO              ; RIO DE JANEIRO                                                ;          9659579 ; 3813897583             ; BARU MUCURA                         ;                      0 ;                     10 ;                         0 ;                  10 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                           ; 2022-01-04 08:40:00-03     ; 2022-01-04 08:40:00-03 ; 2022-01-04 16:15:00-03 ; 2022-01-04 16:15:00-03   ; BRRIO                     ; RIO DE JANEIRO                                          ; BRRIO                      ; RIO DE JANEIRO
    112022 ; BRMEA001           ; TERMINAL PETROBRÁS - MACAÉ - RJ                               ;          9659658 ; 3813904121             ; BARU SINÚ                           ;                      0 ;                     10 ;                         0 ;                  10 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                           ; 2022-01-07 08:10:00-03     ; 2022-01-07 19:00:00-03 ; 2022-01-07 21:50:00-03 ; 2022-01-07 21:50:00-03   ; BRMEA001                  ; TERMINAL PETROBRÁS - MACAÉ - RJ                         ; BRMEA001                   ; TERMINAL PETROBRÁS - MACAÉ - RJ
    122022 ; BRRJ022            ; PORTO DO AÇU                                                  ;          9388584 ;                        ; Maersk Topper                       ;                      0 ;                     17 ;                         0 ;                  17 ;                      0 ;                      0 ;                         0 ;                   0 ; Off-shore                                                                                                                                                                                           ; 2022-01-02 10:00:00-03     ; 2022-01-02 10:00:00-03 ; 2022-01-02 22:40:00-03 ; 2022-01-02 22:40:00-03   ; BRRJ022                   ; PORTO DO AÇU                                            ; BRRJ022                    ; PORTO DO AÇU
